[2026-05-08T19:25:45.257+0530][1.678s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.2ms
[2026-05-08T19:25:45.257+0530][1.678s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.1ms
[2026-05-08T19:25:45.257+0530][1.678s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 83.2ms
[2026-05-08T19:25:45.258+0530][1.678s][info][gc,phases   ] GC(15)   Post Evacuate Collection Set: 0.4ms
[2026-05-08T19:25:45.258+0530][1.678s][info][gc,phases   ] GC(15)   Other: 0.1ms
[2026-05-08T19:25:45.258+0530][1.679s][info][gc,heap     ] GC(15) Eden regions: 38->0(36)
[2026-05-08T19:25:45.258+0530][1.679s][info][gc,heap     ] GC(15) Survivor regions: 6->6(6)
[2026-05-08T19:25:45.258+0530][1.679s][info][gc,heap     ] GC(15) Old regions: 296->334
[2026-05-08T19:25:45.258+0530][1.679s][info][gc,heap     ] GC(15) Humongous regions: 40->40
[2026-05-08T19:25:45.258+0530][1.679s][info][gc,metaspace] GC(15) Metaspace: 171K(384K)->171K(384K) NonClass: 165K(256K)->165K(256K) Class: 6K(128K)->6K(128K)
[2026-05-08T19:25:45.258+0530][1.679s][info][gc          ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 379M->380M(500M) 85.023ms
